domain,stance
heraldscotland.com,-1.64277777777778
scotsman.com,-1.25515151515152
junkee.com,-1.22888888888889
ajplus.net,-1.17222222222222
mashable.com,-1.15454545454545
upworthy.com,-1.10740740740741
vox.com,-1.0339859437751
alternet.org,-1
aquinas.edu,-1
arkansasonline.com,-1
blackagendareport.com,-1
blockclubchicago.org,-1
bluevirginia.us,-1
boingboing.net,-1
bostonglobe.com,-1
buzzfeednews.com,-1
canyoncountryzephyr.com,-1
care2.com,-1
jezebel.com,-1
chicagodefender.com,-1
currentaffairs.org,-1
dailykos.com,-1
democracynow.org,-1
esquire.com,-1
fcnp.com,-1
nynmedia.com,-1
heralddemocrat.com,-1
jacobinmag.com,-1
mediamatters.org,-1
metroweekly.com,-1
motherjones.com,-1
newrepublic.com,-1
newsone.com,-1
thenation.com,-1
nydailynews.com,-1
nymag.com,-1
refinery29.com,-1
peacock-panache.com,-1
politicususa.com,-1
progressivevoicesofiowa.com,-1
rawstory.com,-1
rollingstone.com,-1
salon.com,-1
sfchronicle.com,-1
socialistalternative.org,-1
truthdig.com,-1
thedailybeast.com,-1
texassignal.com,-1
thinkprogress.org,-1
theintercept.com,-1
vogue.com,-1
yesmagazine.org,-1
aljazeera.com,-0.999342105263158
crikey.com.au,-0.994936375603335
theconversation.com,-0.978899312070044
occupydemocrats.com,-0.96530612244898
channel4.com,-0.965262368815592
indy100.com,-0.964116410458547
vice.com,-0.960502634425335
npr.org,-0.925472759134779
newyorker.com,-0.870476892822025
dailyrecord.co.uk,-0.845555555555556
slate.com,-0.841176470588235
washingtonpost.com,-0.762394129021575
theguardian.com,-0.755323965452638
huffpost.com,-0.699000572523075
thesaturdaypaper.com.au,-0.678321995464853
nytimes.com,-0.655377762630251
latimes.com,-0.639333954354914
msnbc.com,-0.624472606878616
walesonline.co.uk,-0.600483870967742
channel5.com,-0.595555555555556
metro.co.uk,-0.572009857612267
macleans.ca,-0.552643328259767
ft.com,-0.506260162601626
advocate.com,-0.5
ajc.com,-0.5
amnews.com,-0.5
hollywoodreporter.com,-0.5
bgdailynews.com,-0.5
bloomberg.com,-0.5
bostonreview.net,-0.5
bustle.com,-0.5
cadizrecord.com,-0.5
centre-view.com,-0.5
chicago.suntimes.com,-0.5
coloradosun.com,-0.5
commercialappeal.com,-0.5
countercurrents.org,-0.5
courier-journal.com,-0.5
dailydot.com,-0.5
dailynorthwestern.com,-0.5
dailytargum.com,-0.5
delcotimes.com,-0.5
eastbaytimes.com,-0.5
espn.com,-0.5
fair.org,-0.5
freep.com,-0.5
gizmodo.com,-0.5
gq.com,-0.5
grist.org,-0.5
hbswk.hbs.edu,-0.5
herald-dispatch.com,-0.5
hstoday.us,-0.5
independent.co.uk,-0.5
publicintegrity.org,-0.5
indyweek.com,-0.5
insidehighered.com,-0.5
insider.com,-0.5
lasvegassun.com,-0.5
sfgate.com,-0.5
lmtonline.com,-0.5
masslive.com,-0.5
mediaite.com,-0.5
mercurynews.com,-0.5
miamiherald.com,-0.5
michigandaily.com,-0.5
teenvogue.com,-0.5
texastribune.org,-0.5
mtv.com,-0.5
mystatesman.com,-0.5
nbcnews.com,-0.5
newjerseymonitor.com,-0.5
news.google.com,-0.5
newscentermaine.com,-0.5
newsobserver.com,-0.5
nj.com,-0.5
people.com,-0.5
philly.com,-0.5
politico.com,-0.5
usnews.com,-0.5
propublica.org,-0.5
psmag.com,-0.5
wisconsingazette.com,-0.5
sacbee.com,-0.5
sandiegouniontribune.com,-0.5
scientificamerican.com,-0.5
skyhidailynews.com,-0.5
vanityfair.com,-0.5
sltrib.com,-0.5
spokesman.com,-0.5
startribune.com,-0.5
state-journal.com,-0.5
theatlantic.com,-0.5
thejustice.org,-0.5
themaneater.com,-0.5
theonion.com,-0.5
today.com,-0.5
theroot.com,-0.5
truth-out.org,-0.5
theverge.com,-0.5
theweek.com,-0.5
time.com,-0.5
timescall.com,-0.5
transwrites.world,-0.5
univision.com,-0.5
washingtonmonthly.com,-0.5
vtdigger.org,-0.5
wyomingpublicmedia.org,-0.5
yahoo.com,-0.5
irishnews.com,-0.49
mirror.co.uk,-0.459369369369369
thenewdaily.com.au,-0.446630109670987
smh.com.au,-0.440755191944619
economist.com,-0.440580392967439
abcnews.go.com,-0.402114552114552
theage.com.au,-0.386542827657379
cbc.ca,-0.379069196539112
buzzfeed.com,-0.377364700308647
cbsnews.com,-0.36846273024617
10daily.com.au,-0.357130750605327
abc.net.au,-0.292594247614995
bbc.com,-0.290947300809266
cnn.com,-0.279776356561579
apnews.com,-0.25
adelaidenow.com.au,-0.241984126984127
thestar.com,-0.235376995860438
belfasttelegraph.co.uk,-0.215
thetimes.co.uk,-0.199209419680404
theglobeandmail.com,-0.193579270452131
brisbanetimes.com.au,-0.157067307692308
usatoday.com,-0.144623811942248
afr.com,-0.143621958121109
dailymail.co.uk,-0.110160460879724
wsj.com,-0.0890701482281786
msn.com,-0.0674662628581345
news.yahoo.com,-0.0286855367565527
fivethirtyeight.com,0
abqjournal.com,0
adn.com,0
fortune.com,0
arcdigital.media,0
arstechnica.com,0
axios.com,0
azcentral.com,0
baltimoresun.com,0
barnstablepatriot.com,0
barrons.com,0
beaumontenterprise.com,0
indystar.com,0
bridgemi.com,0
c-span.org,0
calmatters.org,0
calwatchdog.com,0
japantimes.co.jp,0
chicagotribune.com,0
civilbeat.org,0
cjr.org,0
